Brand,Series,Model,Interface,Chipset Manufacturer,GPU Series,GPU,Core Clock,Boost Clock,Stream Processors,Effective Memory Clock,Memory Size,Memory Interface,Memory Type,OpenGL,HDMI,Multi-Monitor Support,DisplayPort,Max Resolution,CrossFireX Support,Virtual Reality Ready,Cooler,System Requirements,Power Connector,HDCP Ready,Features,Max GPU Length,Card Dimensions (L x H),Slot Width,Package Contents,CUDA Cores,DirectX,SLI Support,Form Factor,Other Ports,Thermal Design Power,Eyefinity Support,DVI,Dual-Link DVI Supported,Operating Systems Supported,Link
GIGABYTE,,GV-N207SGAMING OC-8GD,PCI Express 3.0 x16,NVIDIA,,GeForce RTX 2070 SUPER,1815 MHz,,,14000 MHz,8GB,256-Bit,GDDR6,OpenGL 4.5,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,7680 x 4320 @ 60 Hz,,Yes,WINDFORCE 3X,System PSU Limitation: 650W,"1 x 8-Pin, 1 x 6-Pin",,Powered by GeForce RTX 2070 SUPERIntegrated with 8GB GDDR6 256-bit memory interfaceWINDFORCE 3X Cooling System with alternate spinning fansRGB Fusion 2.0 - synchronize with other AORUS devicesProtection Metal Back Plate,287 mm,"11.28"" x 4.51""",2.5 slot,Accessories:Quick guideDriver CD,2560,DirectX 12,2-way NVIDIA NVLINK,ATX,,,,,,
GIGABYTE,,GV-N207SGAMING OC-8GD,PCI Express 3.0 x16,NVIDIA,,RTX 2060,1815 MHz,,,14000 MHz,8 GB,256-Bit,GDDR6,OpenGL 4.5,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,7680 x 4320 @ 60 Hz,,Yes,WINDFORCE 3X,System PSU Limitation: 650W,"1 x 8-Pin, 1 x 6-Pin",,DisplayPort:Yes,287 mm,"11.28"" x 4.51""",2.5 slot,Accessories:Quick guideDriver CD,2560,DirectX 12,2-way NVIDIA NVLINK,Plug-in Card,,,,,,
GIGABYTE,,GV-N207SWF3OC-8GD,PCI Express 3.0 x16,NVIDIA,,GeForce RTX 2070 SUPER,1785 MHz,,,14000 MHz,8GB,256-Bit,GDDR6,OpenGL 4.5,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,7680 x 4320 @ 60 Hz,,Yes,WINDFORCE 3X,System PSU Limitation: 650W,"1 x 8-Pin, 1 x 6-Pin",,Powered by GeForce RTX 2070 SUPERIntegrated with 8GB GDDR6 256-bit memory interfaceWINDFORCE 3X Cooling System with alternate spinning fansExtreme Durability and OverclockingProtection Metal Back Plate,286 mm,"11.26"" x 4.49""",2.5 slot,Accessories:Quick guideDriver CD,2560,DirectX 12,2-way NVIDIA NVLINK,ATX,,,,,,
MSI,,RTX 2070 ARMOR 8G,PCI Express 3.0 x16,NVIDIA,NVIDIA GeForce RTX 20 Series,GeForce RTX 2070,1410 MHz,1620 MHz,,14 Gbps,8GB,256-Bit,GDDR6,OpenGL 4.5,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,7680 x 4320,,Yes,Double Fans,Recommended PSU: 550W,"1 x 8-pin, 1 x 6-pin",2.2,"Armor Thermal DesignTORX Fan 2.0 with Double Ball Bearings- Dispersion fan blade: Steep curved blade accelerating the airflow- Traditional fan blade: Provides steady airflow to massive heat sink belowMastery of Aerodynamics: The heatsink is optimized for efficient heat dissipation, keeping your temperatures low and performance highZero Frozr technology: Stopping the fan in low-load situations, keeping a noise-free environmentRGB Mystic LightCustomize colors and LED effects with exclusive MSI software and synchronize the look & feel with other components",295 mm,"11.61"" x 5.51""",2.5 slot,Accessories:Quick guideDriver CD,2304,DirectX 12,2-way NVIDIA NVLINK,ATX,1 x USB Type-C,175W,,,,
ASUS,ROG STRIX,ROG-STRIX-RTX2080S-A8G-GAMING,PCI Express 3.0,NVIDIA,NVIDIA GeForce RTX 20 Series,GeForce RTX 2080 SUPER,OC mode: 1680 MHzGaming mode: 1650 MHz,OC mode: 1860 MHzGaming mode: 1830 MHz,,15500 MHz,8GB,256-Bit,GDDR6,OpenGL 4.6,2 x HDMI 2.0b,4,2 x DisplayPort 1.4,7680 x 4320,,Yes,Triple Fans,Recommended PSU: 650W,2 x 8-Pin,2.2,"RT Cores: Dedicated ray tracing hardware enables fast real-time ray tracing of objects and environments with physically accurate shadows, reflections, refractions, and global illumination.Concurrent Floating Point and Integer Processing: Turing GPUs more efficiently process the compute heavy workloads of modern games.Ultra-fast GDDR6: Experience up to 496 GB/s of memory bandwidth for high-speed, high-resolution gaming.Axial-tech fan design features a smaller fan hub that facilitates longer blades and a barrier ring that increases downward air pressure.0dB Technology lets you enjoy light gaming in relative silence.2.7-slot Design expands cooling surface area to make the most of the three powerful Axial-tech fans.Auto-Extreme Technology uses automation to enhance reliability.A reinforced frame prevents excessive torsion and lateral bending of the PCB.GPU Tweak II provides intuitive performance tweaking, thermal controls, and system monitoring.Aura Sync compatibility lets you customize and sync lighting effects with other compatible hardware.",300 mm,"11.80"" x 5.10""",2.7 Slots,Accessories:1 x Quick Guide1 x ROG Velcro Hook & Loop,3072,DirectX 12,SLI Ready,ATX,1 x USB Type-C,175W,,,,
MSI,ROG STRIX,RTX 2070 ARMOR 8G OCV1,PCI Express 3.0 x16,NVIDIA,NVIDIA GeForce RTX 20 Series,GeForce RTX 2070,OC mode: 1680 MHzGaming mode: 1650 MHz,1710 MHz,,14 Gbps,8GB,256-Bit,GDDR6,OpenGL 4.5,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,7680 x 4320,,Yes,Double Fans,Recommended PSU: 550W,"1 x 8-pin, 1 x 6-pin",2.2,"Armor Thermal DesignTORX Fan 2.0 with Double Ball Bearings- Dispersion fan blade: Steep curved blade accelerating the airflow.- Traditional fan blade: Provides steady airflow to massive heat sink below.Mastery of Aerodynamics: The heatsink is optimized for efficient heat dissipation, keeping your temperatures low and performance high.Zero Frozr technology: Stopping the fan in low-load situations, keeping a noise-free environment.RGB Mystic LightCustomize colors and LED effects with exclusive MSI software and synchronize the look & feel with other components.",295 mm,"11.61"" x 5.51""",2.7 Slots,Accessories:1 x Quick Guide1 x ROG Velcro Hook & Loop,2304,DirectX 12,No,ATX,1 x USB Type-C,185W,,,,
MSI,ROG STRIX,RTX 2070 GAMING X 8G,PCI Express 3.0 x16,NVIDIA,NVIDIA GeForce RTX 20 Series,GeForce RTX 2070,OC mode: 1680 MHzGaming mode: 1650 MHz,1710 MHz,,14 Gbps,8GB,256-Bit,GDDR6,OpenGL 4.5,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,7680 x 4320,,Yes,Double Fans,Recommended PSU: 550W,"1 x 8-pin, 1 x 6-pin",2.2,"Twin Frozr 7 Thermal Design:TORX Fan 3.0 with Double Ball Bearings- Dispersion fan blade: Steep curved blade accelerating the airflow.- Traditional fan blade: Provides steady airflow to massive heat sink below.Mastery of Aerodynamics: The heatsink is optimized for efficient heat dissipation, keeping your temperatures low and performance high.Zero Frozr technology: Stopping the fan in low-load situations, keeping a noise-free environment.RGB Mystic Light:Customize colors and LED effects with exclusive MSI software and synchronize the look & feel with other components.Dragon Center:1 click to optimize all you need for smooth gaming.",295 mm,"11.61"" x 5.51""",2.7 Slots,Accessories:1 x Graphics Card Support Bracket,2304,DirectX 12,No,ATX,1 x USB Type-C,225W,,,,
MSI,ROG STRIX,RTX 2070 GAMING 8G,PCI Express 3.0 x16,NVIDIA,NVIDIA GeForce RTX 20 Series,GeForce RTX 2070,1410 MHz,1620 MHz,,14 Gbps,8GB,256-Bit,GDDR6,OpenGL 4.5,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,7680 x 4320,,Yes,Double Fans,Recommended PSU: 550W,"1 x 8-pin, 1 x 6-pin",2.2,"Twin Frozr 7 Thermal DesignTORX Fan 3.0 with Double Ball Bearings- Dispersion fan blade: Steep curved blade accelerating the airflow.- Traditional fan blade: Provides steady airflow to massive heat sink below.Mastery of Aerodynamics: The heatsink is optimized for efficient heat dissipation, keeping your temperatures low and performance high.Zero Frozr technology: Stopping the fan in low-load situations, keeping a noise-free environment.RGB Mystic LightCustomize colors and LED effects with exclusive MSI software and synchronize the look & feel with other components.Dragon Center1 click to optimize all you need for smooth gaming.",307 mm,"12.09"" x 6.10""",2.7 Slots,Accessories: 1 x Graphics Card Support Bracket,2304,DirectX 12,No,ATX,1 x USB Type-C,175W,,,,
ASUS,Dual,DUAL-RTX2080S-O8G-EVO,PCI Express 3.0,NVIDIA,NVIDIA GeForce RTX 20 Series,GeForce RTX 2080 SUPER,OC mode: 1680 MHzGaming mode: 1650 MHz,OC mode: 1860 MHzGaming mode: 1830 MHz,,15500 MHz,8GB,256-Bit,GDDR6,OpenGL 4.6,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,7680 x 4320,,Yes,Double Fans,Recommended PSU: 650W,"1 x 6-Pin, 1 x 8-Pin",2.2,"RT Cores: Dedicated ray tracing hardware enables fast real-time ray tracing of objects and environments with physically accurate shadows, reflections, refractions, and global illumination.Concurrent Floating Point and Integer Processing: Turing GPUs more efficiently process the compute heavy workloads of modern games.Ultra-fast GDDR6: Experience up to 496 GB/s of memory bandwidth for high-speed, high-resolution gaming.Axial-tech fan design features a smaller fan hub that facilitates longer blades and a barrier ring that increases downward air pressure.0dB Technology lets you enjoy light gaming in relative silence.2.7-slot Design expands cooling surface area to make the most of the two powerful Axial-tech fans.Auto-Extreme Technology uses automation to enhance reliability.A Protective backplate secures components during transportation and installation.GPU Tweak II provides intuitive performance tweaking, thermal controls, and system monitoring.144-hour Validation Program puts cards through a series of stringent tests to ensure compatibility with the latest games.",267 mm,"10.51"" x 4.65""",2.7 Slot,Accessories:1 x Quick Guide,3072,DirectX 12,SLI Ready,ATX,1 x USB Type-C,175W,,,,
GIGABYTE,Dual,GV-N1660GAMING OC-6GD,PCI Express 3.0 x16,NVIDIA,NVIDIA GeForce GTX 16 Series,GeForce GTX 1660,1860 MHz,OC mode: 1860 MHzGaming mode: 1830 MHz,,8002 MHz,6GB,192-Bit,GDDR5,OpenGL 4.5,1 x HDMI 2.0b,4,3 x DisplayPort 1.4,7680 x 4320 @ 60 Hz,,Yes,WINDFORCE 3X,System PSU Limitation (W): 450GPU-TDP (W): 112 (Real)Total Graphics Power-TGP (W): 160 (Real),8-Pin,2.2,Powered by GeForce GTX 1660Integrated with 6GB GDDR5 192-bit memory interfaceWINDFORCE 3X Cooling System with alternate spinning fansRGB Fusion 2.0 - synchronize with other AORUS devicesProtection back plate,280 mm,"11.02"" x 4.57""",Dual Slot,Accessories:Quick guideDriver CD,1408,DirectX 12,No,ATX,1 x USB Type-C,175W,,,,
